"Your Kindle Notes For:",,,
"OUTLIERS: THE STORY OF SUCCESS",,,
"by Malcolm Gladwell",,,
"Free Kindle instant preview:",,,
"https://read.amazon.com/kp/kshare?asin=B002RI9PKO&ref_=k4w_nn_export_file",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 134","","They had to appreciate the idea that the values of the world we inhabit and the people we surround ourselves with have a profound effect on who we are."
"Highlight (Yellow)","Location 398","","Achievement is talent plus preparation."
"Highlight (Yellow)","Location 398","","The problem with this view is that the closer psychologists look at the careers of the gifted, the smaller the role innate talent seems to play and the bigger the role preparation seems to play."
"Highlight (Yellow)","Location 419","","And what’s more, the people at the very top don’t work just harder or even much harder than everyone else. They work much, much harder."
"Highlight (Yellow)","Location 447","","Practice isn’t the thing you do once you’re good. It’s the thing you do that makes you good."
"Highlight (Yellow)","Location 816","","A basketball player only has to be tall enough — and the same is true of intelligence. Intelligence has a threshold."
"Highlight (Yellow)","Location 1054","","practical intelligence includes things like “knowing what to say to whom, knowing when to say it, and knowing how to say it for maximum effect.”"
"Highlight (Yellow)","Location 1229","","He’d had to make his way alone, and no one — not rock stars, not professional athletes, not software billionaires, and not even geniuses — ever makes it alone."
"Highlight (Yellow)","Location 1387","","“It’s that they had a skill that they had been working on for years that was suddenly very valuable.”"
"Highlight (Yellow)","Location 1634","","Those three things — autonomy, complexity, and a connection between effort and reward — are, most people agree, the three qualities that work has to have if it is to be satisfying."
"Highlight (Yellow)","Location 1645","","Hard work is a prison sentence only if it does not have meaning. Once it does, it becomes the kind of thing that makes you grab your wife around the waist and dance a jig."
"Highlight (Yellow)","Location 1650","","you work hard enough and assert yourself, and use your mind and imagination, you can shape the world to your desires."
"Highlight (Yellow)","Location 1795","","and that’s what a “culture of honor” means. It’s a world where a man’s reputation is at the center of his livelihood and self-worth."
"Highlight (Yellow)","Location 2468","","“NO ONE WHO CAN RISE BEFORE DAWN THREE HUNDRED SIXTY DAYS A YEAR FAILS TO MAKE HIS FAMILY RICH.”"
"Highlight (Yellow)","Location 2631","","“No food without blood and sweat.” “Farmers are busy; farmers are busy; if farmers weren’t busy, where would grain to get through the winter come from?” “In winter, the lazy man freezes to death.” “Don’t depend on heaven for food, but on your own two hands carrying the load.” “Useless to ask about the crops, it all depends on hard work and fertilizer.” “If a man works hard, the land will not be lazy.”"
"Highlight (Yellow)","Location 2637","","“No one who can rise before dawn three hundred sixty days a year fails to make his family rich.”"
"Highlight (Yellow)","Location 2722","","Success is a function of persistence and doggedness and the willingness to work hard for twenty-two minutes to make sense of something that most people would give up on after thirty seconds."
"Highlight (Yellow)","Location 2745","","We should be able to predict which countries are best at math simply by looking at which national cultures place the highest emphasis on effort and hard work."
"Highlight (Yellow)","Location 2764","","“SSLANT”: smile, sit up, listen, ask questions, nod when being spoken to, and track with your eyes."
"Highlight (Yellow)","Location 2961","","Outliers are those who have been given opportunities — and who have had the strength and presence of mind to seize them."
