"Your Kindle Notes For:",,,
"THE 5 AM CLUB",,,
"by Robin Sharma",,,
"Free Kindle instant preview:",,,
"https://read.amazon.com/kp/kshare?asin=B07L872Z1B&ref_=k4w_nn_export_file",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 5","","Limitation is nothing more than a mentality that too many good people practice daily until they believe it’s reality. It breaks my heart to see so many potentially powerful human beings stuck in a story about why they can’t be extraordinary, professionally and personally. You need to remember that your excuses are seducers, your fears are liars and your doubts are thieves.”"
"Highlight (Yellow)","Page 5","","Lusting after unimportant pursuits and hungry for the instant fulfillment of trivial desires, often driven by a technology that enslaves us instead of liberating us."
"Highlight (Yellow)","Page 7","","“Ideas are worth nothing unless backed by application. The smallest of implementations is always worth more than the grandest of intentions."
"Highlight (Yellow)","Page 8","","World-class begins where your comfort zone ends is a rule the successful, the influential and the happiest always remember.”"
"Highlight (Yellow)","Page 8","","if the road gets tough and requires some patience, we think we’re on the wrong path,”"
"Highlight (Yellow)","Page 9","","The beliefs that disturb you, the feelings that threaten you, the projects that unnerve you and the unfoldments of your talents that the insecure part of you is resisting are precisely where you need to go to."
"Highlight (Yellow)","Page 10","","Walking into the very things that scare you is how you reclaim your forgotten power. And how you get back the innocence and awe you lost after childhood.”"
"Highlight (Yellow)","Page 11","","“Do not live as if you have ten thousand years left. Your fate hangs over you. While you are still living, while you still exist on this Earth, strive to become a genuinely great person.”"
"Highlight (Yellow)","Page 20","","Life’s way too valuable to hang with people who don’t get you. Who you just don’t vibe with. Who have different values and lower standards than you do."
"Highlight (Yellow)","Page 20","","“Done Is Better Than Perfect.”"
"Highlight (Yellow)","Page 21","","“Own your morning. Elevate your life.”"
"Highlight (Yellow)","Page 24","","“All learning meets us exactly where we’re at."
"Highlight (Yellow)","Page 25","","every professional was once an amateur, and every master started as a beginner."
"Highlight (Yellow)","Page 26","","Most of us in this age spend our most valuable hours being busy being busy. Chasing trivial pursuits and artificial amusements while neglecting living a real life."
"Highlight (Yellow)","Page 28","","F1 racer Mario Andretti said: ‘If everything seems under control you’re not going fast enough.’"
"Highlight (Yellow)","Page 29","","Obstacles are nothing more than tests designed to measure how seriously you want the rewards that your ambitions seek. They show up to determine how willing you are to improve into the kind of person who can hold that amount of success."
"Highlight (Yellow)","Page 29","","‘The tragedy of life is not death but what we let die inside of us while we live.’”"
"Highlight (Yellow)","Page 30","","I’m not anti-social. I’m just anti-moron."
"Highlight (Yellow)","Page 31","","the soreness of growth is so much less expensive than the devastating costs of regret.”"
"Highlight (Yellow)","Page 33","","“All change is hard at first, messy in the middle and gorgeous at the end.”"
"Highlight (Yellow)","Page 33","","They measure their self-worth by their net worth."
"Highlight (Yellow)","Page 34","","Leadership is about making a difference, right where you’re planted."
"Highlight (Yellow)","Page 34","","Develop the patience to stick with your dedication to absolute world-class output, even if over a lifetime you only generate a single masterpiece."
"Highlight (Yellow)","Page 36","","Each early morning is a page in the story that becomes your legacy."
"Highlight (Yellow)","Page 40","","Nothing works for those who don’t do the work."
"Highlight (Yellow)","Page 41","","“Victims love entertainment. Victors adore education.”"
"Highlight (Yellow)","Page 41","","You’ll learn to rise early, regularly—so you’ll get more done by noon than most people get done in a week, and so you’ll optimize your health, happiness and peacefulness."
"Highlight (Yellow)","Page 44","","“We’re so honest when we chat with taxi drivers and other people we don’t really know, right?”"
"Highlight (Yellow)","Page 48","","Success is cool. But significance is rad."
"Highlight (Yellow)","Page 51","","Don’t let the noise of others’ opinions drown out your own inner voice."
"Highlight (Yellow)","Page 51","","have the courage to follow your heart and intuition. They somehow already know what you truly want to become.”"
"Highlight (Yellow)","Page 53","","Voluntary discomfort, whether by dressing as I did or by fasting once a week or by sleeping on the floor once a month, keeps me strong , disciplined and focused on the central few priorities my life’s built around."
"Highlight (Yellow)","Page 53","","appearances can be misleading and clothing doesn’t convey one’s character."
